10000 100000
8618 9205 1000000
4717 7824 1000000
5658 6890 1000000
593 6890 1000000
1589 8706 1000000
7251 9205 1000000
7333 7824 1000000
1619 6890 1000000
5631 9205 1000000
1564 538 -212167
4247 6890 1000000
9419 9478 1000000
7187 9205 1000000
829 5822 1000000
5567 9478 1000000
8557 7824 1000000
7816 5123 -219268
3236 6890 1000000
9017 4170 1000000
3229 9478 1000000
1258 7824 1000000
390 4170 1000000
9934 7824 1000000
8859 7824 1000000
3503 7824 1000000
398 6890 1000000
3855 5385 1000000
4855 4170 1000000
8979 5385 1000000
839 3594 1000000
5829 5385 1000000
5567 3594 1000000
484 9205 1000000
5300 7824 1000000
4307 9205 1000000
7661 3594 1000000
2559 5822 1000000
2910 3594 1000000
7028 7824 1000000
2047 5385 1000000
8068 9205 1000000
9034 4170 1000000
7154 6890 1000000
6310 5822 1000000
4716 7824 1000000
568 5822 1000000
9132 8706 1000000
2068 9434 -219262
865 7824 1000000
5865 4170 1000000
7706 5822 1000000
9822 5385 1000000
1603 3594 1000000
36 8706 1000000
1046 5385 1000000
1647 7824 1000000
586 4376 -217830
5467 4170 1000000
834 5385 1000000
1575 6890 1000000
804 9205 1000000
856 5822 1000000
6880 4170 1000000
1826 4170 1000000
9542 9205 1000000
6262 5385 1000000
3585 9205 1000000
4561 9205 1000000
4165 9478 1000000
4473 5385 1000000
5550 3594 1000000
2331 8706 1000000
7919 8706 1000000
3512 3594 1000000
2655 5385 1000000
4390 3594 1000000
1334 4170 1000000
3311 7824 1000000
5213 7823 -210803
3574 6890 1000000
7068 7824 1000000
4883 5478 -211757
641 3594 1000000
8432 5385 1000000
2837 6714 -214560
2368 5385 1000000
9502 5822 1000000
7007 9205 1000000
953 8706 1000000
9474 6890 1000000
1668 5385 1000000
468 6890 1000000
4898 5822 1000000
3618 4170 1000000
3996 3594 1000000
638 3594 1000000
9514 5385 1000000
1114 8706 1000000
9969 6890 1000000
8601 4170 1000000
4020 4170 1000000
5226 8652 -210496
4097 8706 1000000
6520 8706 1000000
4619 7824 1000000
3451 5385 1000000
154 8706 1000000
5126 7824 1000000
6028 7824 1000000
4690 6890 1000000
8892 4170 1000000
5249 5822 1000000
951 5822 1000000
8890 8706 1000000
5765 5822 1000000
7148 5822 1000000
3792 8706 1000000
6637 3594 1000000
2964 5385 1000000
2851 4170 1000000
7283 3594 1000000
9 5385 1000000
3767 3594 1000000
6165 9478 1000000
804 7824 1000000
7856 5385 1000000
9417 7824 1000000
193 8706 1000000
5032 3594 1000000
5425 3813 -212500
4261 5385 1000000
3604 6890 1000000
384 5822 1000000
510 6890 1000000
7718 6890 1000000
5221 5385 1000000
8643 8787 -217351
3645 9478 1000000
7614 8706 1000000
5643 3594 1000000
3507 9478 1000000
5632 3594 1000000
521 9478 1000000
1069 8706 1000000
446 5385 1000000
454 5822 1000000
354 9478 1000000
7242 8706 1000000
2806 3594 1000000
8161 4170 1000000
9288 5822 1000000
187 9478 1000000
8773 5385 1000000
2514 5822 1000000
8150 4170 1000000
9533 3594 1000000
6101 7824 1000000
5948 3594 1000000
6953 5385 1000000
5658 5822 1000000
8487 7824 1000000
2506 8706 1000000
9818 6890 1000000
1759 232 -213690
3033 6890 1000000
5648 5385 1000000
8022 9205 1000000
6930 1847 -218267
273 6890 1000000
1906 6890 1000000
8335 7142 -217754
3056 5385 1000000
9397 5822 1000000
6273 8271 -212254
1230 3594 1000000
7394 6890 1000000
8468 9478 1000000
3147 6890 1000000
4499 3594 1000000
3912 5385 1000000
5571 6890 1000000
7637 6890 1000000
2072 7824 1000000
9673 8706 1000000
8696 5822 1000000
7865 7824 1000000
1846 8928 -217895
8223 4170 1000000
4607 7902 -218805
2751 7824 1000000
7863 4170 1000000
8332 5822 1000000
3215 4170 1000000
560 8706 1000000
37 9478 1000000
2592 4170 1000000
9076 3594 1000000
5685 3356 -212735
7052 5822 1000000
8222 9478 1000000
5764 3594 1000000
2767 6890 1000000
6013 4170 1000000
1153 5385 1000000
9412 9478 1000000
8405 8706 1000000
4728 6890 1000000
4235 5822 1000000
1886 11 -213942
5604 9205 1000000
4196 8961 -218600
1689 6890 1000000
9612 5822 1000000
3182 9205 1000000
2981 6890 1000000
7657 7824 1000000
9093 9040 -219198
9970 3594 1000000
6184 5822 1000000
5505 3594 1000000
4541 3874 -215005
8543 5822 1000000
6690 5822 1000000
160 5822 1000000
6796 9205 1000000
5324 3594 1000000
712 6890 1000000
3311 9205 1000000
7953 5822 1000000
1501 9478 1000000
4793 9478 1000000
4394 3594 1000000
6555 3594 1000000
1274 5822 1000000
8354 8706 1000000
3646 5385 1000000
9543 3594 1000000
459 7824 1000000
4309 6890 1000000
360 6890 1000000
8379 7824 1000000
169 6890 1000000
7418 5385 1000000
2851 9205 1000000
8962 5385 1000000
8303 7824 1000000
9543 7824 1000000
7611 8706 1000000
3390 5822 1000000
8545 9205 1000000
3304 3594 1000000
8538 7824 1000000
3016 5385 1000000
6544 9205 1000000
9453 7722 -211155
9354 3594 1000000
7312 5385 1000000
7522 7824 1000000
2286 504 -213154
4472 5822 1000000
5074 6890 1000000
4624 6890 1000000
1629 8706 1000000
2165 5385 1000000
4234 7824 1000000
2802 6890 1000000
2887 3594 1000000
549 5385 1000000
6850 6890 1000000
7833 8251 -210267
8370 5822 1000000
9933 9205 1000000
2189 5385 1000000
70 6890 1000000
4151 9478 1000000
1751 7824 1000000
764 5385 1000000
6724 9075 -210288
1188 9205 1000000
137 3594 1000000
6444 6890 1000000
3183 7824 1000000
9247 4170 1000000
147 5822 1000000
6261 9478 1000000
2509 6890 1000000
7927 5385 1000000
6205 5822 1000000
168 2672 -211407
4320 9478 1000000
8290 7824 1000000
1075 9205 1000000
531 6890 1000000
8678 7824 1000000
5154 9478 1000000
5840 9478 1000000
4373 5385 1000000
5209 5886 -210663
10 7824 1000000
4544 9478 1000000
6579 3594 1000000
8634 5385 1000000
6410 5822 1000000
6967 5385 1000000
722 5385 1000000
8310 5822 1000000
2064 3594 1000000
5546 5385 1000000
840 5822 1000000
2584 6829 -212342
9992 7824 1000000
8081 1704 -214055
6962 5385 1000000
7789 5822 1000000
5399 9205 1000000
7107 5385 1000000
158 4170 1000000
5804 5822 1000000
4466 5385 1000000
4990 4170 1000000
1922 5385 1000000
4666 9205 1000000
2518 7824 1000000
5785 8706 1000000
6011 5822 1000000
1823 9478 1000000
3390 3594 1000000
7184 8460 -218180
7227 4170 1000000
7740 8706 1000000
9251 9205 1000000
3171 7824 1000000
9886 5822 1000000
9966 5822 1000000
8046 5822 1000000
4612 4170 1000000
5153 3594 1000000
3131 6890 1000000
6626 3594 1000000
587 5122 -217189
2652 2058 -216453
4443 5385 1000000
6387 4170 1000000
8858 5385 1000000
5758 8337 -216244
7270 5822 1000000
6979 6890 1000000
5088 5385 1000000
3540 6898 -210162
1923 5385 1000000
4409 4170 1000000
5475 7824 1000000
3866 3594 1000000
2591 5822 1000000
4966 7824 1000000
5559 7824 1000000
3196 6890 1000000
6121 5822 1000000
6200 8706 1000000
6201 9478 1000000
9891 3594 1000000
6148 5385 1000000
145 6890 1000000
6945 7824 1000000
9730 3594 1000000
7683 8706 1000000
1987 5822 1000000
4279 4170 1000000
8378 7824 1000000
7343 5385 1000000
8244 7824 1000000
3512 9478 1000000
1216 3594 1000000
4603 7824 1000000
5757 590 -215511
145 5822 1000000
9827 5385 1000000
8929 4170 1000000
2686 8706 1000000
9123 9205 1000000
4863 9205 1000000
8463 3594 1000000
4340 5822 1000000
1729 7824 1000000
4209 8706 1000000
4049 6494 -217013
5998 7824 1000000
6347 7824 1000000
3588 5385 1000000
8013 9205 1000000
562 3594 1000000
8786 7824 1000000
919 8706 1000000
3887 5385 1000000
7248 2196 -213575
9196 9205 1000000
854 4170 1000000
831 1016 -213347
6374 7824 1000000
4119 5385 1000000
5317 6890 1000000
8998 9478 1000000
3781 5385 1000000
1893 8706 1000000
2085 3470 -214858
7616 5385 1000000
1964 4170 1000000
4904 5385 1000000
4531 7824 1000000
9202 5822 1000000
8680 9478 1000000
4218 2555 -219003
9982 9478 1000000
3973 9205 1000000
7920 9478 1000000
6509 9205 1000000
7881 9478 1000000
3806 7824 1000000
7056 4887 -212904
168 4170 1000000
4874 5385 1000000
2019 4170 1000000
9722 7355 -214552
8705 8706 1000000
3149 5822 1000000
3551 6890 1000000
402 7039 -210612
8762 5385 1000000
1558 6890 1000000
3004 3594 1000000
5019 9478 1000000
8931 9478 1000000
5957 9478 1000000
8089 3594 1000000
8387 9205 1000000
415 1973 -212733
9324 8706 1000000
7467 3594 1000000
2509 6713 -209832
1005 5822 1000000
9933 1841 -212704
6996 5385 1000000
8860 5385 1000000
8234 5822 1000000
6734 5385 1000000
7501 5385 1000000
3820 5822 1000000
924 5822 1000000
8024 4170 1000000
1595 9205 1000000
2820 9205 1000000
4356 6890 1000000
9118 5385 1000000
8552 6890 1000000
7471 4170 1000000
7470 3594 1000000
264 3594 1000000
7945 9205 1000000
1710 7824 1000000
9512 9478 1000000
7592 6890 1000000
854 6890 1000000
3865 4170 1000000
9054 9205 1000000
5275 9478 1000000
2525 9205 1000000
1053 6890 1000000
4913 7824 1000000
4299 4170 1000000
5647 5385 1000000
4196 4170 1000000
7413 7824 1000000
1039 7824 1000000
2067 5822 1000000
2394 3594 1000000
3130 8781 -214605
3968 5385 1000000
6553 9478 1000000
3765 9478 1000000
4306 9205 1000000
7766 9478 1000000
2274 9478 1000000
812 3594 1000000
803 3769 -218961
9317 4170 1000000
3677 4170 1000000
7632 9205 1000000
4722 9478 1000000
4636 3594 1000000
7611 9205 1000000
7381 6890 1000000
9797 8706 1000000
5310 9478 1000000
4030 3594 1000000
280 5822 1000000
1364 3594 1000000
9652 6890 1000000
2105 9205 1000000
3288 5822 1000000
2492 8706 1000000
9682 9478 1000000
3301 8706 1000000
907 5385 1000000
1022 3594 1000000
2490 9205 1000000
4586 5822 1000000
9082 9205 1000000
5339 4170 1000000
5573 6706 -216814
6752 5385 1000000
5477 8706 1000000
998 8706 1000000
2273 9478 1000000
3215 6890 1000000
2454 7824 1000000
7765 5822 1000000
9407 5822 1000000
62 9205 1000000
4218 9478 1000000
9864 2867 -216282
9986 4170 1000000
2269 8706 1000000
2614 6890 1000000
4523 5385 1000000
4052 6890 1000000
8722 5822 1000000
1227 4170 1000000
2056 7824 1000000
630 5822 1000000
134 9478 1000000
855 5822 1000000
2625 5385 1000000
8693 4170 1000000
9862 5822 1000000
9643 6890 1000000
3554 5822 1000000
1946 9205 1000000
5107 8706 1000000
9413 5822 1000000
3365 9478 1000000
6497 5385 1000000
3495 9478 1000000
4513 2702 -213908
8658 4170 1000000
298 5822 1000000
6853 9478 1000000
3623 9478 1000000
9831 6890 1000000
5092 8706 1000000
1589 51 -216529
1511 8706 1000000
1624 8830 -217670
4867 7824 1000000
7522 5822 1000000
9711 5385 1000000
221 5822 1000000
9496 4170 1000000
4118 3594 1000000
5989 4170 1000000
8837 5385 1000000
7187 5385 1000000
156 8706 1000000
6819 9205 1000000
8607 3594 1000000
9677 9205 1000000
6063 5385 1000000
5288 5822 1000000
5801 5822 1000000
8716 6890 1000000
9309 4170 1000000
885 3594 1000000
9182 8706 1000000
8365 5385 1000000
5173 5385 1000000
6452 8706 1000000
5817 3594 1000000
6922 5385 1000000
4133 8706 1000000
1818 6890 1000000
1763 9478 1000000
6309 6890 1000000
1889 9205 1000000
6181 5385 1000000
7463 9205 1000000
7198 4170 1000000
3 6890 1000000
8729 6890 1000000
7976 6890 1000000
8626 8706 1000000
3975 3594 1000000
4732 9205 1000000
9926 9478 1000000
9654 5385 1000000
4229 9478 1000000
226 6890 1000000
5611 4170 1000000
2344 3594 1000000
4508 9478 1000000
3175 6890 1000000
3816 4170 1000000
8346 4170 1000000
1996 6890 1000000
5720 7824 1000000
4499 8706 1000000
2252 9478 1000000
6901 9478 1000000
6723 7824 1000000
1319 9478 1000000
8446 9205 1000000
9247 8706 1000000
3047 8706 1000000
3751 9478 1000000
4887 7824 1000000
2498 3594 1000000
2374 1730 -214035
8000 6890 1000000
9497 7824 1000000
5337 4690 -215315
5387 7824 1000000
1814 5822 1000000
702 6890 1000000
3133 3594 1000000
6554 6890 1000000
3376 5822 1000000
7777 9205 1000000
2153 3594 1000000
3690 6890 1000000
2865 7824 1000000
4584 9478 1000000
7415 4170 1000000
3817 4170 1000000
885 5822 1000000
131 4170 1000000
5039 3594 1000000
6669 7824 1000000
9675 6344 -216992
1212 9478 1000000
3713 7824 1000000
2975 5385 1000000
8843 6890 1000000
9121 3594 1000000
7600 6890 1000000
9575 5822 1000000
771 9478 1000000
2654 7824 1000000
8518 5822 1000000
3949 2291 -216068
1563 8706 1000000
8052 9205 1000000
6598 5822 1000000
5181 8706 1000000
5250 4170 1000000
2766 5822 1000000
4898 9478 1000000
5247 9478 1000000
1888 7311 -211598
6773 5822 1000000
7771 4170 1000000
4429 4170 1000000
672 9478 1000000
3918 8706 1000000
7722 8706 1000000
6127 9205 1000000
7107 1390 -216467
3761 5342 -210363
5639 4170 1000000
213 3594 1000000
6459 9478 1000000
4125 9478 1000000
91 8706 1000000
1263 6890 1000000
678 1741 -212635
5286 5822 1000000
1158 4170 1000000
3533 9478 1000000
6121 6171 -216164
6091 5385 1000000
867 3594 1000000
3699 8706 1000000
3112 5385 1000000
9418 5385 1000000
8694 9478 1000000
5151 9205 1000000
3462 5385 1000000
4496 6890 1000000
1780 7879 -216508
3243 8706 1000000
1965 5822 1000000
9705 9478 1000000
6765 7824 1000000
8362 8706 1000000
6677 6444 -216329
6612 9478 1000000
9201 9478 1000000
7411 7824 1000000
8543 4170 1000000
2406 9478 1000000
5934 6890 1000000
8501 9205 1000000
673 6890 1000000
4897 9205 1000000
2591 4677 -210718
773 5822 1000000
1379 9478 1000000
2819 9478 1000000
7257 9205 1000000
5684 8706 1000000
7437 1486 -211268
4669 6890 1000000
7091 5385 1000000
1752 8706 1000000
3029 8706 1000000
6356 5822 1000000
5413 7824 1000000
7642 8706 1000000
6373 9478 1000000
9343 5385 1000000
2880 5626 -216172
124 8706 1000000
2329 9205 1000000
7817 5385 1000000
3733 7824 1000000
3144 5822 1000000
9065 5385 1000000
6796 5822 1000000
6236 2382 -217517
9569 4170 1000000
4778 100 -216973
6664 5729 -213014
8324 7824 1000000
5874 5822 1000000
9890 7824 1000000
4153 3594 1000000
3736 8423 -215336
6939 5822 1000000
3440 8706 1000000
8639 9205 1000000
8145 9478 1000000
6979 3594 1000000
7969 8706 1000000
4912 6890 1000000
2504 6890 1000000
4663 3594 1000000
6670 9478 1000000
8426 2269 -215966
8437 3594 1000000
8546 9478 1000000
678 3594 1000000
590 9478 1000000
6939 2764 -213288
4091 4170 1000000
4813 5385 1000000
884 9478 1000000
6167 8640 -212678
9860 9205 1000000
9266 7824 1000000
1068 8706 1000000
8597 8706 1000000
683 5385 1000000
6307 8706 1000000
8347 5822 1000000
5181 6890 1000000
360 3594 1000000
6852 3594 1000000
8410 4170 1000000
7339 9478 1000000
4158 6890 1000000
6501 4170 1000000
8048 7824 1000000
3159 9478 1000000
43 5385 1000000
1400 5822 1000000
7906 5385 1000000
256 9478 1000000
5373 9649 -216297
9605 7824 1000000
5303 7824 1000000
2548 9478 1000000
8608 3710 -214247
2034 3594 1000000
2921 5385 1000000
7223 3594 1000000
7352 8706 1000000
5798 6890 1000000
5793 9049 -218116
8332 4170 1000000
7829 9478 1000000
4140 8706 1000000
8822 9478 1000000
3184 6890 1000000
2369 6890 1000000
4597 4170 1000000
6826 5822 1000000
5958 9478 1000000
8845 9478 1000000
9212 5822 1000000
2381 9205 1000000
857 6116 -215404
1934 6890 1000000
8289 8706 1000000
8397 8706 1000000
7005 4170 1000000
7221 7824 1000000
7152 7824 1000000
2510 5385 1000000
2664 3594 1000000
6922 6890 1000000
4822 7824 1000000
9200 4170 1000000
9511 2027 -218662
4661 9478 1000000
6299 8706 1000000
1427 3594 1000000
4085 6890 1000000
9042 5923 -210145
7107 8706 1000000
3955 3594 1000000
9268 7735 -216915
5272 9205 1000000
1217 9205 1000000
5799 4170 1000000
833 6890 1000000
7489 9478 1000000
683 3594 1000000
8098 5822 1000000
8347 7824 1000000
8561 9478 1000000
1499 5385 1000000
770 9478 1000000
7141 6890 1000000
5169 4170 1000000
9976 5385 1000000
9954 8890 -215938
5847 9478 1000000
6710 4170 1000000
7224 4170 1000000
7698 6890 1000000
6826 8706 1000000
4151 3594 1000000
7034 4170 1000000
8916 3594 1000000
2331 5822 1000000
6742 5822 1000000
6741 6890 1000000
2831 9205 1000000
1439 1504 -219664
9992 9205 1000000
1445 4170 1000000
8471 5385 1000000
1781 8706 1000000
5023 4170 1000000
7464 8706 1000000
5167 6102 -217957
1002 8706 1000000
5779 5822 1000000
7417 4170 1000000
4517 7824 1000000
3417 8706 1000000
9930 4170 1000000
4045 7824 1000000
1615 9205 1000000
649 8706 1000000
4464 5385 1000000
6242 6890 1000000
4646 3594 1000000
5666 6890 1000000
5699 9205 1000000
5182 5413 -213011
5431 9205 1000000
1615 5385 1000000
6812 9205 1000000
3974 5385 1000000
239 9205 1000000
2654 9205 1000000
2041 9478 1000000
6764 3594 1000000
5096 5822 1000000
6347 5385 1000000
3935 9205 1000000
4346 3594 1000000
7398 5822 1000000
183 5201 -210194
8157 5385 1000000
6967 6890 1000000
1873 9205 1000000
5017 6890 1000000
4697 4170 1000000
2466 9205 1000000
9652 7824 1000000
7776 9478 1000000
3640 5385 1000000
314 3594 1000000
5300 3968 -212276
4462 9205 1000000
3178 9205 1000000
6026 3594 1000000
3019 972 -217289
9306 9205 1000000
7313 6890 1000000
7765 9205 1000000
5377 3594 1000000
6991 9478 1000000
399 7824 1000000
6006 5822 1000000
5252 3594 1000000
2499 7824 1000000
8623 5822 1000000
3843 4170 1000000
4240 3594 1000000
852 9478 1000000
7819 5822 1000000
702 2260 -211846
8825 8706 1000000
9740 7824 1000000
321 5822 1000000
4836 5822 1000000
2456 9205 1000000
3392 9478 1000000
287 6890 1000000
9911 9205 1000000
637 7824 1000000
2930 9478 1000000
7754 7824 1000000
9133 5385 1000000
2117 6890 1000000
4259 1130 -210749
9934 6890 1000000
4331 9205 1000000
5162 6890 1000000
4581 7824 1000000
6098 3594 1000000
588 5385 1000000
5838 8706 1000000
2978 6890 1000000
8309 5385 1000000
1176 6890 1000000
6225 7824 1000000
8592 9205 1000000
7549 3594 1000000
6144 8706 1000000
8888 4170 1000000
7004 8706 1000000
9492 6890 1000000
4813 4170 1000000
3638 9478 1000000
901 5385 1000000
5548 3594 1000000
2871 6890 1000000
1768 9205 1000000
9009 3594 1000000
5903 4170 1000000
4646 4170 1000000
2091 3837 -215121
9799 7219 -210813
9783 9205 1000000
9087 5385 1000000
4840 4170 1000000
5570 5385 1000000
5320 5385 1000000
6275 6890 1000000
1041 3594 1000000
8439 5822 1000000
3674 9478 1000000
2535 5385 1000000
2598 9478 1000000
7364 5385 1000000
9319 4977 -216551
3700 3594 1000000
2223 5385 1000000
3104 7824 1000000
4589 9205 1000000
5385 7824 1000000
6784 8706 1000000
9186 9478 1000000
2249 5385 1000000
2464 1992 -214772
5883 9478 1000000
6411 9478 1000000
7305 4768 -211285
4637 9205 1000000
2941 9205 1000000
5927 6890 1000000
550 7824 1000000
6153 3594 1000000
7317 6017 -212864
7850 9478 1000000
3737 4170 1000000
6123 9205 1000000
6372 8706 1000000
9561 9478 1000000
2763 5385 1000000
3946 9205 1000000
4127 2709 -216612
9841 6890 1000000
9108 9478 1000000
5619 3594 1000000
2553 5385 1000000
472 7824 1000000
1907 4170 1000000
7332 5822 1000000
6801 8803 -215760
1227 7824 1000000
5240 4170 1000000
9228 3594 1000000
3461 1479 -217760
7434 7824 1000000
6516 9478 1000000
7356 9205 1000000
5101 5385 1000000
813 3594 1000000
2161 5822 1000000
9232 4170 1000000
8550 8706 1000000
5346 8706 1000000
3482 8706 1000000
6912 7824 1000000
7226 5822 1000000
1812 5822 1000000
622 9478 1000000
2979 6890 1000000
7659 9478 1000000
7821 9478 1000000
5884 7824 1000000
4082 6099 -217483
2390 8706 1000000
5478 7824 1000000
9331 3194 -218309
32 9478 1000000
7925 9205 1000000
947 4170 1000000
5914 4170 1000000
340 9205 1000000
727 5385 1000000
5828 9478 1000000
9915 3594 1000000
8981 6890 1000000
586 5385 1000000
7272 7824 1000000
4470 6890 1000000
2401 9478 1000000
7395 5822 1000000
3953 9478 1000000
7590 5385 1000000
8559 9478 1000000
3362 175 -217212
3203 7824 1000000
6491 9768 -210262
9287 9205 1000000
4500 3936 -212773
7049 4307 -214251
2047 8706 1000000
3380 3594 1000000
8075 5822 1000000
5075 9478 1000000
3528 4314 -213087
3273 8706 1000000
2129 6890 1000000
6362 9478 1000000
9902 8706 1000000
9688 5822 1000000
4596 8375 -211588
9962 3594 1000000
7155 9205 1000000
392 6890 1000000
9705 5822 1000000
